"sample.date","treatment","replicate","disturbed","fertilized","biomass","year","centered.year","log.biomass","fert.code","dist.code"
"6/5/96","T7","R1","not.disturbed","no.fert",24.360625,1996,-4.0958677685951,3.19296809932702,0,0
"6/5/96","T7","R2","not.disturbed","no.fert",59.4946666666667,1996,-4.0958677685951,4.08588667267971,0,0
"6/5/96","T7","R3","not.disturbed","no.fert",37.686875,1996,-4.0958677685951,3.62931189060197,0,0
"6/5/96","T7","R4","not.disturbed","no.fert",25.613125,1996,-4.0958677685951,3.24310491541468,0,0
"6/5/96","T7","R5","not.disturbed","no.fert",44.1423076923077,1996,-4.0958677685951,3.78741868066514,0,0
"6/5/96","T7","R6","not.disturbed","no.fert",44.428,1996,-4.0958677685951,3.79386990130487,0,0
"6/5/96","T7","R1","not.disturbed","fert",43.54,1996,-4.0958677685951,3.7736800558064,1,0
"6/5/96","T7","R2","not.disturbed","fert",34.27625,1996,-4.0958677685951,3.5344526945135,1,0
"6/5/96","T7","R3","not.disturbed","fert",38.104375,1996,-4.0958677685951,3.64032910493659,1,0
"6/5/96","T7","R4","not.disturbed","fert",43.628125,1996,-4.0958677685951,3.77570201119488,1,0
"6/5/96","T7","R5","not.disturbed","fert",40.7936842105263,1996,-4.0958677685951,3.70852727066594,1,0
"6/5/96","T7","R6","not.disturbed","fert",62.6258333333333,1996,-4.0958677685951,4.13717786603639,1,0
"7/15/89","T7","R1","not.disturbed","no.fert",205.428571428571,1989,-11.0958677685951,5.32509838922568,0,0
"7/15/89","T7","R2","not.disturbed","no.fert",187.083333333333,1989,-11.0958677685951,5.23155415038835,0,0
"7/15/89","T7","R3","not.disturbed","no.fert",424.3125,1989,-11.0958677685951,6.05047021206187,0,0
"7/15/89","T7","R4","not.disturbed","no.fert",360.5,1989,-11.0958677685951,5.887491956725,0,0
"7/15/89","T7","R5","not.disturbed","no.fert",545.75,1989,-11.0958677685951,6.30216099543005,0,0
"7/15/89","T7","R6","not.disturbed","no.fert",182.333333333333,1989,-11.0958677685951,5.20583651375387,0,0
"7/15/89","T7","R2","not.disturbed","fert",426.545454545455,1989,-11.0958677685951,6.055718936975,1,0
"7/15/89","T7","R3","not.disturbed","fert",1039.875,1989,-11.0958677685951,6.94685579260405,1,0
"7/15/89","T7","R4","not.disturbed","fert",499.607142857143,1989,-11.0958677685951,6.21382207530123,1,0
"7/15/89","T7","R5","not.disturbed","fert",443.583333333333,1989,-11.0958677685951,6.09488568338476,1,0
"7/15/89","T7","R6","not.disturbed","fert",331.8,1989,-11.0958677685951,5.80453237775634,1,0
"7/15/96","T7","R6","not.disturbed","no.fert",35.98,1996,-4.0958677685951,3.58296322852239,0,0
"7/15/96","T7","R1","disturbed","no.fert",16.3790909090909,1996,-4.0958677685951,2.79600557682924,0,1
"7/15/96","T7","R2","disturbed","no.fert",21.9175,1996,-4.0958677685951,3.0872854044806,0,1
"7/15/96","T7","R3","disturbed","no.fert",33.56,1996,-4.0958677685951,3.51333488159901,0,1
"7/15/96","T7","R4","disturbed","no.fert",13.5181818181818,1996,-4.0958677685951,2.60403558066774,0,1
